Fecha;Temperatura;Humedad_rel;WH2;WH3;WH4;WH5;WH6;WH7;FH1;Consumo
08/01/2009 21:00;271,5390342;0,832449589;0;0;1;0;0;0;0;4191
08/01/2009 22:00;270,9389214;0,849260871;0;0;1;0;0;0;0;4185
08/01/2009 23:00;270,5937393;0,858835995;0;0;1;0;0;0;0;3913
09/01/2009 0:00;270,4011037;0,874639479;0;0;0;1;0;0;0;4081
09/01/2009 1:00;270,2981192;0,898650028;0;0;0;1;0;0;0;3797
09/01/2009 2:00;270,4738616;0,878110437;0;0;0;1;0;0;0;3421
09/01/2009 3:00;270,3695222;0,880349664;0;0;0;1;0;0;0;3196
09/01/2009 4:00;269,7084915;0,929506063;0;0;0;1;0;0;0;3333
09/01/2009 5:00;269,6557094;0,930798763;0;0;0;1;0;0;0;3152
09/01/2009 6:00;269,974753;0,922860168;0;0;0;1;0;0;0;2838
09/01/2009 7:00;269,9771447;0,944581776;0;0;0;1;0;0;0;3454
09/01/2009 8:00;270,0253358;0,920971214;0;0;0;1;0;0;0;4078
09/01/2009 9:00;270,2516004;0,877145715;0;0;0;1;0;0;0;4284
09/01/2009 10:00;270,6738199;0,870382972;0;0;0;1;0;0;0;4196
09/01/2009 11:00;271,5826113;0,855343883;0;0;0;1;0;0;0;4162
09/01/2009 12:00;272,918939;0,840787109;0;0;0;1;0;0;0;4333
09/01/2009 13:00;273,8229074;0,88184164;0;0;0;1;0;0;0;4836
09/01/2009 14:00;274,1522945;0,948978555;0;0;0;1;0;0;0;5113
09/01/2009 15:00;274,3450176;0,968316411;0;0;0;1;0;0;0;4650
09/01/2009 16:00;274,5219391;0,94328206;0;0;0;1;0;0;0;4466
09/01/2009 17:00;274,7467648;0,926042723;0;0;0;1;0;0;0;4393
09/01/2009 18:00;275,1324526;0,929096812;0;0;0;1;0;0;0;4123
09/01/2009 19:00;275,6415397;0,929832483;0;0;0;1;0;0;0;4148
09/01/2009 20:00;275,9874557;0,93187057;0;0;0;1;0;0;0;4489
09/01/2009 21:00;276,1315367;0,934587735;0;0;0;1;0;0;0;4314
09/01/2009 22:00;276,1889248;0,94106206;0;0;0;1;0;0;0;4758
09/01/2009 23:00;276,1231558;0,961077187;0;0;0;1;0;0;0;4386
10/01/2009 0:00;275,8567677;0,980459398;0;0;0;0;1;0;0;3233
10/01/2009 1:00;275,7854786;0,982754831;0;0;0;0;1;0;0;2611
10/01/2009 2:00;275,3421932;0,967842939;0;0;0;0;1;0;0;2239
10/01/2009 3:00;275,9704446;0,965899518;0;0;0;0;1;0;0;1957
10/01/2009 4:00;275,592751;0,984922294;0;0;0;0;1;0;0;2076
10/01/2009 5:00;275,5475975;0,989905775;0;0;0;0;1;0;0;2380
10/01/2009 6:00;276,0351942;0,973859737;0;0;0;0;1;0;0;2528
10/01/2009 7:00;272,7374246;0,949186631;0;0;0;0;1;0;0;2603
10/01/2009 8:00;272,7831125;0,938200998;0;0;0;0;1;0;0;3006
10/01/2009 9:00;273,2055177;0,940387361;0;0;0;0;1;0;0;3386
10/01/2009 10:00;273,5770605;0,941438257;0;0;0;0;1;0;0;4024
10/01/2009 11:00;274,1758663;0,932475784;0;0;0;0;1;0;0;3993
10/01/2009 12:00;275,2207872;0,932638457;0;0;0;0;1;0;0;3930
10/01/2009 13:00;276,581845;0,931484307;0;0;0;0;1;0;0;4400
10/01/2009 14:00;277,6532347;0,907645248;0;0;0;0;1;0;0;4225
10/01/2009 15:00;278,0926059;0,901163262;0;0;0;0;1;0;0;3256
10/01/2009 16:00;278,0528259;0,914510595;0;0;0;0;1;0;0;3208
10/01/2009 17:00;277,5843558;0,948765522;0;0;0;0;1;0;0;3600
10/01/2009 18:00;276,8415163;0,982875752;0;0;0;0;1;0;0;3641
10/01/2009 19:00;275,8729758;0,992912141;0;0;0;0;1;0;0;3707
10/01/2009 20:00;275,1427466;0,997950031;0;0;0;0;1;0;0;3687
10/01/2009 21:00;274,6700584;0,998078178;0;0;0;0;1;0;0;3680
10/01/2009 22:00;274,2426142;0,998982074;0;0;0;0;1;0;0;4114
10/01/2009 23:00;273,8844086;0,998769908;0;0;0;0;1;0;0;3737
11/01/2009 0:00;273,4435325;0,992785416;0;0;0;0;0;1;0;3087
11/01/2009 1:00;273,0263742;0,982226438;0;0;0;0;0;1;0;2709
11/01/2009 2:00;273,9233816;0,976496613;0;0;0;0;0;1;0;2262
11/01/2009 3:00;272,4791969;0,972536224;0;0;0;0;0;1;0;1731
11/01/2009 4:00;272,2563477;0,969385346;0;0;0;0;0;1;0;1617
11/01/2009 5:00;272,0657211;0,972057483;0;0;0;0;0;1;0;1741
11/01/2009 6:00;271,9341548;0,975993197;0;0;0;0;0;1;0;1974
11/01/2009 7:00;269,3783378;0,973719938;0;0;0;0;0;1;0;2645
11/01/2009 8:00;269,5823432;0,97142375;0;0;0;0;0;1;0;3701
11/01/2009 9:00;269,9189873;0,983456434;0;0;0;0;0;1;0;4160
11/01/2009 10:00;271,1706647;0,974398307;0;0;0;0;0;1;0;3846
11/01/2009 11:00;273,7525663;0,922091111;0;0;0;0;0;1;0;3196
11/01/2009 12:00;276,2265649;0,863225248;0;0;0;0;0;1;0;3089
11/01/2009 13:00;277,8207366;0,820702385;0;0;0;0;0;1;0;3450
11/01/2009 14:00;279,0513335;0,814358494;0;0;0;0;0;1;0;3757
11/01/2009 15:00;279,8146582;0,847441706;0;0;0;0;0;1;0;3489
11/01/2009 16:00;279,9657161;0,891621065;0;0;0;0;0;1;0;3617
11/01/2009 17:00;279,2443262;0,931154137;0;0;0;0;0;1;0;3227
11/01/2009 18:00;277,588141;0,96727349;0;0;0;0;0;1;0;3205
11/01/2009 19:00;276,0280246;0,98910275;0;0;0;0;0;1;0;3315
11/01/2009 20:00;275,1786554;0,986154269;0;0;0;0;0;1;0;3431
11/01/2009 21:00;274,6738147;0,963648235;0;0;0;0;0;1;0;3407
11/01/2009 22:00;274,2585087;0,944240206;0;0;0;0;0;1;0;3542
11/01/2009 23:00;273,8700833;0,941923826;0;0;0;0;0;1;0;3191
12/01/2009 0:00;273,5614559;0,941104708;0;0;0;0;0;0;0;3452
12/01/2009 1:00;273,3202919;0,933171724;0;0;0;0;0;0;0;3286
